"nama_depan","nama_belakang","gender","foto","tingkat","id_prov","id_kab","id_kec","id_partai","id_dapil","no_urut","status"
"FUAD ","SULAIMY, ST, MM","l","default_avatar.jpg","c",1,1,"NULL",10,7,2,"l"
"INGE ","YASMINE","p","default_avatar.jpg","c",1,1,"NULL",10,7,3,"l"
"RIA ","DWI ASTUTI","p","default_avatar.jpg","c",1,1,"NULL",10,7,4,"l"
"NATAYA ","APRIALISA","p","default_avatar.jpg","c",1,1,"NULL",10,7,5,"l"
"APRILIA","NULL","p","default_avatar.jpg","c",1,1,"NULL",10,7,6,"l"
"JONATHAN","NULL","l","default_avatar.jpg","c",1,1,"NULL",10,7,7,"l"
"WIDA ","FADLIKA, SE, M.Si","p","default_avatar.jpg","c",1,1,"NULL",11,7,1,"l"
"DEDDY ","RIZALDI","l","default_avatar.jpg","c",1,1,"NULL",11,7,2,"l"
"Hj. HARDINI ","PUSPASAARI","p","default_avatar.jpg","c",1,1,"NULL",11,7,3,"l"
"M. KISRA ","HADIAN","l","default_avatar.jpg","c",1,1,"NULL",11,7,4,"l"
"Drs. ASEP ","SUTISNA, MM","l","default_avatar.jpg","c",1,1,"NULL",11,7,5,"l"
"Hj. YENI ","ANJANI JUWITA","p","default_avatar.jpg","c",1,1,"NULL",11,7,6,"l"
"LUSIATI, ","SE, M.Si","p","default_avatar.jpg","c",1,1,"NULL",11,7,7,"l"
"DINA ","LORENZA AUDRIA","p","default_avatar.jpg","c",1,1,"NULL",13,7,1,"l"
"H. GUNARI ","A LATIEF, M.Si","l","default_avatar.jpg","c",1,1,"NULL",13,7,2,"l"
"Drs. HENDRO ","MARTOJO","l","default_avatar.jpg","c",1,1,"NULL",13,7,3,"l"
"NURUL ","HUDA, SH, MH","l","default_avatar.jpg","c",1,1,"NULL",13,7,4,"l"
"REKHA ","MAHENDRASWARI","p","default_avatar.jpg","c",1,1,"NULL",13,7,5,"l"
"KARREN ","ZUSRINA","p","default_avatar.jpg","c",1,1,"NULL",13,7,6,"l"
"AHDI ","MUQSITH","l","default_avatar.jpg","c",1,1,"NULL",13,7,7,"l"
"DR. H. MUHANTO","NULL","l","default_avatar.jpg","c",1,1,"NULL",14,7,1,"l"
"AMIN","NULL","l","default_avatar.jpg","c",1,1,"NULL",14,7,2,"l"
"HANA ","PUJI ASTUTI","p","default_avatar.jpg","c",1,1,"NULL",14,7,3,"l"
"AHMAD ","FAIDONI HARIRI","l","default_avatar.jpg","c",1,1,"NULL",14,7,4,"l"
"IIS","ROSMERIA","p","default_avatar.jpg","c",1,1,"NULL",14,7,5,"l"
